n l nu dnu
12 2 1686.42 0.31
13 0 1695.07 0.09
13 1 1749.21 0.1
13 2 1804.17 0.27
14 0 1812.43 0.1
14 1 1866.52 0.12
14 2 1921.21 0.16
15 0 1928.90 0.07
14 3 1970.96 5.14
15 1 1982.59 0.07
15 2 2036.67 0.14
16 0 2044.28 0.06
15 3 2085.37 1.5
16 1 2098.08 0.06
16 2 2152.42 0.1
17 0 2159.58 0.06
16 3 2200.58 1.22
17 1 2214.17 0.06
17 2 2268.96 0.08
18 0 2275.95 0.05
17 3 2319.12 0.37
18 1 2331.14 0.04
18 2 2386.26 0.06
19 0 2392.71 0.04
18 3 2436.66 0.3
19 1 2448.25 0.04
19 2 2503.50 0.06
20 0 2509.67 0.04
19 3 2554.15 0.15
20 1 2565.40 0.04
20 2 2620.56 0.07
21 0 2626.40 0.04
20 3 2671.72 0.17
21 1 2682.40 0.05
21 2 2737.74 0.08
22 0 2743.33 0.06
21 3 2789.15 0.28
22 1 2799.73 0.06
22 2 2855.63 0.12
23 0 2860.72 0.1
22 3 2906.87 0.44
23 1 2917.79 0.1
23 2 2973.56 0.24
24 0 2978.50 0.15
23 3 3025.06 1.13
24 1 3036.06 0.15
24 2 3093.04 0.51
25 0 3096.85 0.42
24 3 3144.04 1.42
25 1 3154.31 0.29
25 2 3213.40 1.54
26 0 3214.93 1.04
26 1 3273.17 0.64
26 2 3333.06 2.74
27 0 3334.22 1.9
27 1 3393.45 0.77
